"id","type_id","item_id","text","referencedTopic_id"
132,1,13582,"resigned September 30, 1971, no R.P. ref.",
133,1,13700,"SEE ALSO:  Britton Fellowship in Organic Chemistry, Edgar C.",
134,2,4854,"1951-54 through 1957-60",
135,4,13756,,39381
136,2,4866,volumes 1945-57 for executive committees,
137,2,4884,"1936-45, 1951-66",
138,2,4913,volumes 1936-39 through 1957-60,
139,1,14152,"Date of death, December 3, 1977",
140,1,14232,"Date of death, June 11, 1980",
141,1,14262,"died December 19, 1964",
142,2,5048,volumes 1945-48 through 1957-60,
143,2,5053,"volumes 1945-48, 1954-57, 1960-63, 1963-66",
144,1,14509,"deceased, April 28, 1985",
145,2,5163,"1960-63, 1963-66, 1966-69",
146,2,5187,"1929-32, 1932-36, 1936-39",
147,1,14715,"SEE ALSO:  Bruce Fellowship in Pediatrics, James D.",
148,1,14715,"SEE ALSO:  Bruce Memorial fund, James D.",
149,3,14791,,39381
150,3,14858,,30015
151,1,14923,"Assistant Professor in Natural Resources, 1972, no R. P. refrence",
152,4,143138,,46477
153,2,5352,volumes 1948-63 for conditions governing fund,
154,2,5367,violumes 1906-23 for development of campus plan,
155,2,5373,volumes 1906-14 1917-26 for rules governing keys for,
156,2,5373,volume 1837-64 for proposed and plans for,
157,3,15252,,1216
158,4,15255,,1216
159,2,5386,"1910-17 for committee appointments on board etc",
160,1,15384,"Board of Govs. of Lawyers Club, RP Volumes 1929-39",
161,2,5427,"1901-20",
162,1,15528,"died Nov. 24, 1962",
163,2,5431,"1929-32, 1932-36, 1936-39, 1939-42",
164,1,15743,"died December 15, 1964",
165,1,15753,"on leave volumes 1948-54, 1957-63, 1966-69",
166,2,5527,"1951-54",
167,4,15884,,27147
168,2,5631,"1926-29",
169,1,16065,"died August 4, 1968",
170,2,5649,"1936-39, 1939-42, 1942-45, 1945-48, 1948-51, 1951-54, 1954-57",
171,2,5662,"1923-26",
172,3,16268,,5729
173,3,16299,,18810
174,2,5737,volumes 1963-78 for gift listings,
175,2,5740,volumes 1963-75 for gift listings,
176,1,16596,"Date of death July 1, 1976",
177,1,16737,"nstruction contract approved , May 1995, 336",
178,2,5854,"1917-20, 1923-26, 1926-29",
179,2,5901,"1942-45",
180,1,16995,"died February 6, 1972",
181,1,17011,"death reported, 1975-78, 959",
182,2,5931,volumes 1929-36 for condemnation suit against margaret e hunt,
183,2,5985,"1948-51",
184,2,5985,volumes 1948-57 and 1960-63 for leave of absence,
185,1,17155,"Date of death September 15, 1979",
186,2,5999,volumes 1906-29 for additonal land purchases,
187,1,17232,"named in honor of Professor Filibert Roth (no R.P., ref.)",
188,1,17237,first forestry camp opened in June of 1929 in Alger County (no R.P. ref.),
189,2,6025,"1945-48, 1951-54, 1954-57",
190,2,6025,volumes 1963-75 for comm on american inst lectureship and prof,
191,1,17346,"SEE ALSO:  Campbell Endowment fund, Chesser M.",
192,1,17346,"SEE ALSO:  Campbell Scholarship fund, Chesser M.",
193,1,17405,"SEE ALSO:  Campbell Endowment fund, Edward D.",
194,4,17512,,40136
195,2,6096,"1910-29",
196,2,6118,volumes 1948-63 for planning committees,
197,4,17598,,40139
198,4,17606,,14495
199,2,6143,volumes 1954-81,
200,1,17737,"died November 22, 1963",
201,1,17897,Assistant Professor (no R.P. ref.),
202,1,18008,"SEE ALSO:  Burton Memorial Tower, Marion L.",
203,4,18008,,24236
204,2,6420,"1936-39, 1942-45, 1945-48, 1948-51, 1951-54",
205,1,18367,"died November 9, 1963",
206,2,6430,"1945-48, 1948-51, 1951-54",
207,3,18442,,24236
208,2,6463,"1942-45, 1945-48, 1948-51",
209,1,18483,"died January 19, 1966",
210,2,6507,"1951-54, 1954-57, 1957-60, 1960-63, 1963-66",
211,2,6518,"1939-42, 1942-45, 1945-48, 1951-54",
212,4,18712,,24236
213,2,6532,"1917-20, 1920-23, 1923-26, 1926-29, 1929-32",
214,1,18780,G. A. Breitner (no R.P. ref.),
215,4,18968,,10183
216,2,6629,volumes 1914-32 for retainer fee,
217,3,18991,,5489
218,3,18996,,6629
219,1,19062,"now known as Advertising Design Program Department of Art fund, 1972-75",
220,1,19088,SEE ALSO:  Arborcrest Cemetery,
221,1,19088,SEE ALSO:  Forest Hill Cemetery,
222,1,19088,SEE ALSO:  Fairview Cemetary,
223,4,19098,,6655
224,1,19210,"no record in Proceedings for establishment of, in Sociology",
225,1,19776,died June 1970,
226,4,19946,,36550
227,4,19971,,36550
228,3,19972,,36550
229,1,19978,"SEE:  Goddard Scholarship Fund, Mary B.",
230,1,20023,SEE ALSO:  Chemical and Metallurgical Engineering,
231,3,20024,,7009
232,3,20024,,25728
233,1,20055,"for listing of gifts see RPI index, volumes 1945-48 to 1969-72",
234,3,20069,,8212
235,2,7018,"index 1876-81 for information on litigation, also rp 1881-85, 14",
236,1,20366,H. R. Cottrell (no RP ref.),
237,1,20366,T. J. Mason (no RP ref.),
238,1,20399,no record of appointment to Committee,
239,2,7125,from 1914-17 to 1923-26 for dental clinic for,
240,3,20435,,7131
241,4,20438,,7132
242,4,20659,,10511
243,4,20659,,7221
244,1,20741,"died September 13, 1964",
245,2,7258,"1881-85 and 1891-96, for committee appointments on board etc",
246,2,7263,"1975-78, 69, 520, 905",
247,1,20914,"died January 8, 1972",
248,1,21057,"SEE:  Clarkson Memorial Fund, Eugene S., Jr.",
249,1,21363,"SEE ALSO:  Clement Memorial Foundation, Forney W.",
250,1,21370,for listing of gifts see R.P. index volumes 1945-48 through 1978-81,
251,1,21388,"for a listing of gifts see R.P., 1936-39 through 1975-78",
252,4,21429,,7552
253,1,21474,more pages on Exec. Comm. can be found in R.P.s than listed here,
254,1,21476,SEE:  Board of Governors in index of R.P. 1954-57 to present,
255,3,21666,,7612
256,2,7640,"1936-39, 1945-48, 1954-57, 1957-60, 1960-63",
257,4,21704,,7653
258,2,7724,"1945-48",
259,1,21866,"died September 14, 1969",
260,1,21903,"SEE ALSO:  ppointed to the Middle English Dictionary Council, 1981-84, 99",
261,2,7746,"1942-45",
262,2,7829,"1942-45, 1945-48, 1948-51",
263,1,22224,"Teaching Fellow, 1948-51, through 1957-60",
264,1,22311,"died May 24, 1966",
265,1,22455,"SEE:  Coller Surgical Society Fund, Frederick A.",
266,1,22455,"died November 5, 1964",
267,2,7926,"1932-36 through 1957-60",
268,1,22529,Date of death 10/21/78,
269,3,22679,,678
270,3,22684,,5711
271,1,22715,SEE:  Commonwealth Fund for Research in Tuberculosis,
272,1,22797,SEE:  AMDAHL,
273,3,22817,,5711
274,1,22852,"Comm. on Amer. Inst. Lectureship and Professorship, 1960-63 through 69-72",
275,3,22932,,8095
276,2,8133,"1939-42 through 1948-51",
277,2,8142,"1936-39 through 1954-57",
278,1,23220,Board of Research in Diseases of the Heart and Circulation RPs 1960-72,
279,4,23358,,27153
280,4,23374,,1164
281,3,23448,,1164
282,1,23458,"H. R. Cottrell, March 1966, no RP reference",
283,1,23458,"C. W. Matthews, September 1970, no R.P. ref.",
284,1,23663,"Regent P. N. Cook, 1891 to 1899, no ref, Could be the above individual",
285,1,23669,died February 1972,
286,3,23714,,745
287,4,23730,,745
288,3,23807,,745
289,1,23822,"Assis. to Dir. of Hopwood Awards, RP volumes 1939-48",
290,2,8352,"1906-10 through 1926-29",
291,4,23833,,8337
292,1,23833,SEE ALSO:  Cooley Foundation of Engineering-fund Mortimer E.,
293,2,8366,"1945-48",
294,1,24129,"died July 6, 1970",
295,2,8441,"1942-45 throuth 1966-69",
296,2,8483,"1942-45 through 1951-54",
297,1,24473,"Date of death, December 9, 1977",
298,1,24586,"mmittee through 6/30/96, June 1995, 361",
299,2,8638,"volumes 1906-10, 1926-29, 1932-42 for use of",
300,1,24659,"died February 6, 1971",
301,1,24687,"U. Musical Society Bd of Dir., 1966-78",
302,1,24696,"SEE ALSO:  Crary Scholarship Fund, Isaac E.",
303,2,8649,"1837-64, 1179, for committee appointments on board",
304,2,8668,"1939-42 through 1951-54",
305,4,24785,,10418
306,3,24833,,40483
307,3,24941,,12457
308,1,24947,"Died, August 19, 1982",
309,2,8742,"1945-48",
310,1,25077,"Consultant, RP volumes 1957-75",
311,2,8799,"1936-39 through 1957-60",
312,1,25123,SEE ALSO:  1910-20,
313,1,25138,"llege of LSA, April 1995, 288",
314,1,25156,"Clements Library Associates Board of Governors, RP volumes 1969-84",
315,1,25202,"Assis. Prof. of Nat. Resources and Urban and Regional Planning, no RP ref.",
316,2,8848,"1942-45",
317,2,8918,volumes 1963-75 for gift listings,
318,1,25472,"retired December 31, 1970 (no R.P. ref.)",
319,1,25597,"died July 7, 1970",
320,2,8996,"1942-45 through 1963-66",
321,2,9006,"1948-51",
322,2,9011,"1932-42",
323,2,9025,"1926-29",
324,1,25814,"SEE ALSO:  Cuyler Scholarship fund, Louise E.",
325,3,25821,,9079
326,2,9083,volumes 1960-present for listing of gifts,
327,2,9099,"1896-14",
328,2,9106,"1966-75 gifts for danforth found college teachers training fund",
329,1,26090,"died December 15, 1967",
330,2,9203,"1926-39, and 1948-51",
331,2,9205,volumes 1966-75 for sgift listings,
332,2,9259,"volumes 1978-84, for gifts to clements library",
333,1,26362,"on leave, RP 1951-60, 1963-69",
334,1,26572,"date of death, March 8, 1982",
335,4,26576,,22981
336,2,9377,"1945-48",
337,1,26699,"Lecturer in Accounting, RP volumes 1957-69",
338,2,9441,"1910-14, 1917-20, 1926-29",
339,1,26818,"SEE ALSO:  1936-45, 1951-57, and 1960-63",
340,1,26822,"died November 26, 1972",
341,2,9488,"1906-10",
342,1,26910,"Chairman of Forestry Dep., RP volumes 1948-51, 1954-57, 1960-63, 1963-66",
343,2,9516,"1876-81, 1886-91",
344,1,26986,Associate Professor 1969 no RP ref,
345,2,9541,"1942-48, and 1951-69",
346,2,9557,"1936-57",
347,3,27142,,22981
348,2,9635,under deaths for independant faculty andadministrative personnel,
349,2,9641,"1963-69 for gift from estate for mi memorial-phoenix project gifts fund",
350,4,27308,,13687
351,1,27308,"name changed to Mi. High School Forensic Association in 1933, no R.P. ref.",
352,1,27384,"died October 21, 1971",
353,3,27619,,1277
354,1,27711,"died July 30, 1974",
355,1,27841,SEE ALSO:  Scottish Rite Committee on Research in Dementia Praecox,
356,2,9853,"1886-91, 1901-17",
357,3,27958,,1165
358,1,28036,"SEE ALSO:  Dempster Memorial fund, Wilfrid T.",
359,1,28050,"SEE ALSO:  Denning Memorial fund, Reynolds M.",
360,1,28077,"Date of death April 3, 1976",
361,2,9921,"1948-51 through 1963-66",
362,2,9935,volumes 1939-45,
363,2,9943,volumes 1948-54 and 1960-63 for gifts,
364,2,9947,volumes 1936-42 and 1948-57 for gifts,
365,2,9955,volumes 1901-10 for construction of new,
366,3,28199,,21270
367,2,9956,volumes 1951-66 for gifts,
368,2,9957,"1914-26 and 29-36 for use of and provision of funds for a a public school",
369,1,28220,"SEE ALSO:  Dental Education, Inc., Fund for",
370,2,9963,"volumes 1920-26, 1929-32, 1936-39, 1948-51 for fees for",
371,4,28244,,9981
372,2,9969,volumes 1954-72 for listing of gifts,
373,2,9972,"volumes 1963-75, and 1981-84 for gifts",
374,2,9974,"volumes 1954-75, and 1981-84 for gifts",
375,2,9980,"volumes 1951-54, 1957-66 and 1969-72 for gifts",
376,2,9980,volumes 1951-63 for budget,
377,2,9985,volumes 1932-present for executive committee appointments,
378,4,28300,,9963
379,3,28331,,9955
380,1,28341,SEE:  Dentistry School Appointments for members of Executive committee,
381,1,28462,SEE ALSO:  under name of fund,
382,2,10041,volumes 1957-75 for gifts,
383,1,28537,"mmittee, June 1995, 360",
384,1,28666,"Merged with Detroit Trust Company, see Detroit Bank and Trust Company",
385,2,10128,volumes 1954-75 for listing of gifts,
386,2,10130,volumes 1951-69 for gifts,
