"id","title","available","dateBegin","dateEnd","pages","libraryNum"
2002,Jul 2002–Jun 2003,1,"2002-07-01 00:00:00.0","2003-06-30 00:00:00.0",355,acw7513.2002.001
2003,Jul 2003–Jun 2004,1,"2003-07-01 00:00:00.0","2004-06-30 00:00:00.0",389,acw7513.2003.001
2004,Jul 2004–Jun 2005,1,"2004-07-01 00:00:00.0","2005-06-30 00:00:00.0",415,acw7513.2004.001
2005,Jul 2005–Jun 2006,1,"2005-07-01 00:00:00.0","2006-06-30 00:00:00.0",393,acw7513.2005.001
2006,Jul 2006–Jun 2007,1,"2006-07-01 00:00:00.0","2007-06-30 00:00:00.0",391,acw7513.2006.001
2007,Jul 2007–Jun 2008,1,"2007-07-01 00:00:00.0","2008-06-30 00:00:00.0",407,acw7513.2007.001
2015,Jul 2015–Jun 2016,1,"2015-07-01 00:00:00.0","2016-06-30 00:00:00.0",538,acw7513.2015.001
2009,Jul 2009–Jun 2010,1,"2009-07-01 00:00:00.0","2010-06-30 00:00:00.0",411,acw7513.2009.001
2010,Jul 2010–Jun 2011,1,"2010-07-01 00:00:00.0","2011-06-30 00:00:00.0",426,acw7513.2010.001
2013,Jul 2013–Jun 2014,1,"2013-07-01 00:00:00.0","2014-06-30 00:00:00.0",514,acw7513.2013.001
2014,Jul 2014–Jun 2015,1,"2014-07-01 00:00:00.0","2015-06-30 00:00:00.0",525,acw7513.2014.001
2012,Jul 2012–Jun 2013,1,"2012-07-01 00:00:00.0","2013-06-30 00:00:00.0",445,acw7513.2012.001
2008,Jul 2008–Jun 2009,1,"2008-07-01 00:00:00.0","2009-06-30 00:00:00.0",435,acw7513.2008.001
2011,Jul 2011–Jun 2012,1,"2011-07-01 00:00:00.0","2012-06-30 00:00:00.0",467,acw7513.2011.001
2017,Jul 2017–Jun 2018,1,"2017-07-01 00:00:00.0","2018-06-30 00:00:00.0",586,acw7513.2017.001
2018,Jul 2018–Jun 2019,1,"2018-07-01 00:00:00.0","2019-06-30 00:00:00.0",561,acw7513.2018.001
2016,Jul 2016–Jun 2017,1,"2016-07-01 00:00:00.0","2017-06-30 00:00:00.0",612,acw7513.2016.001
